"weight";"word";"color";"url"
134883;fortnite;#2C9F51; 
128975;minecraft;#8DDAA3; 
69697;war;#BFF031; 
68449;op;#E47140; 
120451;gta;#FDFF48; 
66197;moment;#1A0C12; 
72923;online;#4547BE; 
64401;black;#EC4D3A; 
67529;let;#9ED1B3; 
59220;funny;#EE4EFD; 
90030;battle;#DF8619; 
57941;fifa;#1DAF8C; 
56778;royale;#651D2D; 
55674;season;#E9B84A; 
92816;episode;#39D970; 
53324;legend;#13378E; 
47417;league;#6D359B; 
45824;let_play;#314599; 
42574;black_op;#80724A; 
42092;dragon;#640978; 
44622;team;#61C634; 
43710;free;#21C3BA; 
65636;update;#F17BFA; 
37635;funny_moment;#419365; 
39147;gta_online;#1E6D2E; 
34886;zombie;#6AFA68; 
35314;pokemon;#8A4FB5; 
64628;ep;#54D989; 
35816;xbox;#97D0B7; 
31949;rainbow;#517C30; 
72922;online;#877567; 
43710;free;#E874A1; 
39147;gta_online;#B7D6F7; 
33739;pubg;#38DE0A; 
30813;car;#40F176; 
24483;destiny;#27BC92; 
24359;speed;#13F40B; 
23106;race;#FB5620; 
21871;tip;#CFA965; 
21449;patch;#16B142; 
20460;giveaway;#303308; 
20236;nintendo;#29870B; 
19095;pubg_mobile;#ADF006; 
18088;live_stream;#E438FE; 
17741;switch;#29E927; 
17211;money;#9153FC; 
17425;subscriber;#7C0CE2; 
17258;trick;#5FDAFB; 
17061;need;#890DC6; 
16365;forza;#D73712; 
13747;horizon;#BBF80C; 
13852;news;#78B2F6; 
12392;channel;#6DC2CC; 
12380;change;#FE7E35; 
11307;forza_horizon;#27646B; 
11508;escape;#833736; 
11400;know;#C3F90A; 
10501;assassin;#912B5D; 
10151;growtopia;#138128; 
10314;drop;#EFA28E; 
35800;xbox;#3E43CE; 
55021;update;#5DD333; 
95014;gta;#4ABEFD; 
39647;red;#D8D750; 
36382;pc;#43FE8E; 
36696;mobile;#279B18; 
94527;new;#75322B; 
33276;roblox;#128F4E; 
31832;glitch;#AA9535; 
41393;live;#BAD559; 
58524;game;#6FA4E5; 
44826;gameplay;#441D59; 
27447;stream;#B8AC76; 
24379;nba;#8FA12C; 
28306;good;#B01EFC; 
22209;mod;#DC3D3C; 
21012;build;#37EC2E; 
134882;fortnite;#2E1AB5; 
57940;fifa;#5862BA; 
56777;royale;#3AF017; 
55673;season;#5C1F8E; 
53323;legend;#7FC73A; 
47417;league;#1DDC2E; 
32381;mario;#660EBC; 
30342;life;#62B807; 
29072;fortnite_battle;#5D2FBD; 
27537;dark;#41EA3C; 
25683;week;#94920F; 
19220;ark;#0E5364; 
17667;wwe;#223572; 
17297;league_legend;#880E64; 
17776;career;#31749E; 
17126;soul;#49E1CE; 
17116;clash_royale;#0CADB8; 
44620;team;#9988A4; 
15951;super_mario;#EE651E; 
16072;rocket;#4E0DE9; 
14861;monster;#5A237A; 
13315;hunter;#D474EC; 
12125;zelda;#96E251; 
12060;love;#05BDC6; 
11200;mortal;#6C8F4F; 
11174;rocket_league;#EFDC9D; 
10844;kombat;#4964BD; 
11275;save;#639F82; 
10954;evolve;#FB9C88; 
10422;mortal_kombat;#6A362E; 
10637;dance;#345917; 
11167;io;#A4B2CA; 
76565;battle;#2A0F8D; 
24855;skin;#FACC64; 
67256;vs;#5DFF23; 
33650;mode;#70E199; 
31916;super;#733DAC; 
18606;squad;#FAC9C9; 
27746;win;#0AF14C; 
24462;player;#3CF076; 
54463;game;#5F8E3F; 
24483;day;#2B09CE; 
49242;new;#0CD6FC; 
44068;gameplay;#951762; 
27437;world;#05BD42; 
29839;good;#5E6E0D; 
27581;episode;#BE9C03; 
21700;pro;#61E202; 
29033;play;#62F6DE; 
20992;challenge;#F19FA2; 
21032;ep;#A63AE7; 
128974;minecraft;#01A1AA; 
67528;let;#746DE0; 
45823;let_play;#4CE264; 
35313;pokemon;#ACF5E1; 
28655;simulator;#4A6118; 
25277;base;#729EAE; 
23729;night;#784EBB; 
22560;clan;#669033; 
21490;halo;#02B382; 
20301;pe;#5B1658; 
20337;opening;#1743DB; 
18079;pokï¿½mon;#178FDF; 
14912;moon;#23119C; 
14395;clash_clan;#400473; 
14314;roleplay;#3DEEFC; 
14006;dash;#D73E24; 
13479;deck;#1FCF8E; 
12166;geometry;#50E84B; 
12441;school;#22371F; 
11963;fnaf;#6D1C02; 
11780;geometry_dash;#4BD2A9; 
11413;resident;#75E10F; 
11587;heart;#73D5C8; 
11209;resident_evil;#635D55; 
11411;farm;#25C9E4; 
11491;modern;#081EB6; 
11305;kingdom;#A13A35; 
10986;sun;#87DD4C; 
10980;animation;#8F1A48; 
10823;magic;#B16782; 
65234;episode;#3D107A; 
16351;evil;#AF6E58; 
78116;play;#A13FF2; 
43595;ep;#AC7D25; 
31476;clash;#7596B5; 
14493;house;#D3A7D2; 
27035;nba;#2224C3; 
22102;video;#915623; 
22509;roblox;#5A922D; 
25245;world;#B73447; 
18357;survival;#72EAE2; 
33323;game;#602953; 
20610;build;#847387; 
26506;good;#5D7C0A; 
29892;new;#0816AB; 
17329;pack;#9E8C4A; 
19308;live;#8155A9; 
17010;stream;#B901C6; 
17599;gameplay;#9B9E85; 
69696;war;#6EC1B8; 
68448;op;#9E5CCA; 
66196;moment;#AC65EE; 
64400;black;#16E6A9; 
59219;funny;#649C07; 
42573;black_op;#34CCAF; 
42091;dragon;#7AD1FC; 
37634;funny_moment;#DED428; 
34885;zombie;#87B4DA; 
31948;rainbow;#9EE802; 
29445;siege;#9A9910; 
26153;ball;#C127C6; 
24414;rainbow_siege;#856092; 
23798;duty;#DA2E73; 
23635;overwatch;#284159; 
23222;fail;#30A252; 
20977;smash;#7AF187; 
20113;warfare;#CADCB8; 
20060;de;#D3CA34; 
18651;cod;#F83DB5; 
17281;cs;#76B9A0; 
16017;dragon_ball;#E91FDA; 
16345;multiplayer;#4B869B; 
15149;rust;#9997BB; 
14715;compilation;#D7EA59; 
14366;battlefield;#156024; 
14452;tank;#77345A; 
14193;clip;#880928; 
13180;star_war;#DD1D8C; 
12640;sniper;#F4A717; 
22100;fight;#D0FBF6; 
33043;kill;#C6B70D; 
35894;mod;#EABE13; 
59810;gameplay;#B4A540; 
45513;vs;#D6F79B; 
36480;good;#D8E281; 
21323;star;#C0627E; 
18827;montage;#AF5EEB; 
21549;super;#E2027B; 
25436;gta;#CA4227; 
28312;new;#29372C; 
20981;glitch;#1FF804; 
23211;game;#FA45F8; 
21571;world;#6AC7D5; 